goodsKey,category1,category2,category3,ASIN,goodsName,brand,originalPrice,discountedPrice,ratingAvg,ratingCount,goodsInfo,goodsDesc,goodsImg
6281210,음료,차,아이스 티,B0BNM2CSQ5,"Snapple Peach Tea, 473.2ml (16 액량 온스) 재활용 플라스틱 병, Pack of 12",Snapple,13836,12409,4.7,4115,"맛: Snapple 피치 티는 클래식한 복숭아 맛으로 만들어집니다. SNAPPLE 차: Snapple 피치 티는 홍차와 녹차 잎의 최고급 혼합으로 만들어졌습니다. 품질: 당사의 차, 과일 음료 및 레모네이드는 항상 고품질 재료로 만들어집니다. 천연 성분: Snapple 피치 티는 인공 향료나 감미료가 없는 천연 제품입니다. 100% 재활용: 당사의 473.2ml 및 591.5ml(16온스) 병은 재활용 가능하며 100% 재활용 플라스틱으로 만들어졌습니다(캡과 라벨 제외).","자신만의 복숭아를 만들기 위해 Snapple 피치 차는 완벽하게 복숭아라고 생각합니다. Snapple 피치 티는 홍차와 녹차 잎의 최고급 혼합과 클래식한 복숭아 맛으로 만들어졌습니다. 자신에게 풍미를 더하세요! Snapple 피치 티는 천연 글루텐 프리 제품으로 흑차와 녹차로 만들어졌으며 인공 향료나 감미료가 포함되어 있지 않습니다. 더 좋은 점은 473.2ml(16온스) 및 591.5ml(20온스) 병은 재활용 가능하며 캡과 라벨을 제외한 100% 재활용 플라스틱으로 제작되었습니다. Snapple 제품은 항상 맛을 선사합니다. 뉴욕 지역의 세 친구가 만든 작은 브랜드였을 때부터 저희가 해온 일입니다. 저희는 1973년에 헬스 클럽에 사과 주스를 판매하면서 시작했습니다. 그 이후로 당사는 80년대에 걸쳐 차, 과일 음료 및 레모네이드로 맛 포트폴리오를 확장했습니다. Snapple 는 90년대 초반에 전국에 갔고, 이제 30가지 이상의 맛과 전국 50개 주에서 저희를 찾을 수 있습니다. 그리고 더 많은 재미를 원하신다면 저희 모자 아래의 Snapple 'Real Facts'를 확인하는 것을 잊지 마세요!",https://storage.googleapis.com/portermarket-bucket/B0BNM2CSQ5_1.jpg
6281211,음료,차,아이스 티,B00T5JPFWA,"Gold Peak 티, 스위트 티, 499.8ml(17.8온스), 6팩",Gold Peak,10373,10373,4.7,6112,"Gold Peak 리얼 브루드 스위트 홍차 고품질 찻잎은 상쾌한 맛을 만들어 수제 제품이라고 생각할 것입니다 진짜 사탕수수 설탕으로 단맛을 내어 맛있고 진짜 추출한 달콤한 차를 만듭니다 Gold Peak 스위트 티 6병, 499.8ml (16.8온스) 다양한 맛의 Gold Peak 리얼 브루드 티의 맛을 즐기세요","Gold Peak 최고의 맛을 위해 고른 찻잎으로 만든 진짜 추출 차입니다. 진짜 사탕수수 설탕으로 만든 Gold Peak Sweet Tea를 즐기세요. 온 가족이 사용하기에 완벽한 이 편리한 병으로 어디를 가든 진짜 차를 마실 수 있습니다. 공원에서의 피크닉, 경기 관람 또는 뒷마당 바비큐 등 Gold Peak 스위트 티를 마실 때마다 맛있고 신선한 추출 맛을 얻으세요. Gold Peak 사탕수수 설탕과 순수한 여과수를 사용하여 맛볼 수 있는 차이를 제공합니다. Gold Peak 는 계획되지 않은 모임부터 휴일 전통에 이르기까지 모든 상황에 훌륭하게 어울리는 다양한 실제 브루잉 맛을 가지고 있습니다. 그리고 신선한 맛은 이동 중에도 점심을 먹든 가족 테이크아웃 밤이든 상관없이 모든 식사를 집에서 요리하는 것처럼 느껴집니다. Gold Peak의 진정한 맛은 실제 순간과 잘 어울립니다. 무설탕 차, 가당 진짜 추출 차 또는 무가당 진짜 추출 차 옵션을 좋아하든 다양한 Gold Peak 차를 선택할 수 있습니다. 저희는 Gold Peak 레몬 티, 헬스 녹차 및 레스토랑과 같은 클래식한 맛 컬렉션을 보유하고 있으며 캘리포니아 라즈베리 티, 조지아 피치 티와 같이 전국적으로 제공되는 상쾌한 맛도 제공합니다. 진짜 추출. 진짜 차. 정말 좋습니다.",https://storage.googleapis.com/portermarket-bucket/B00T5JPFWA_1.jpg
6281212,음료,차,아이스 티,B01G3JBGJK,"Pure Leaf 아이스 티, 0칼로리 무가당 버라이어티 팩, 500ml(18.5액량 온스) (12팩)",Pure Leaf,33918,33918,4.6,19874,"파우더나 농축액을 사용하지 않고 가장 신선하게 따온 진짜 찻잎에서 추출합니다 인공 감미료나 색소가 첨가되지 않았습니다 버라이어티 팩은 3가지 무가당 맛이 특징입니다 - 홍차, 녹차, 레몬 아이스티(각 4병) 병당 0칼로리 524.5g(18.5온스) 병 12개 포함","Pure Leaf는 인생에서 가장 좋은 것이 진짜이고 단순하다고 믿습니다. 하지만 때로는 단순함에 약간의 작업이 필요합니다. 각 Pure Leaf 브루를 갓 병에 담아 밀봉하기 전에 저희 찻잎은 많은 사랑과 관심을 받아 상쾌한 잎사귀 추출 차를 만듭니다. Pure Leaf 진짜 잎사귀 아이스 티입니다. 즉, 가루나 농축액(다른 차와 마찬가지로)을 사용하지 않고 가장 신선한 상태로 고른 진짜 찻잎에서 추출됩니다. 홍차 잎은 손으로 선택하고 추출하여 최고의 차 맛을 만듭니다. 이 버라이어티 팩은 홍차, 녹차, 레몬 아이스티 등 우리가 가장 좋아하는 무가당 맛 3가지를 특징으로 합니다. 모두 0칼로리가 있습니다. 이 12병 버라이어티 팩에는 각 맛의 4병이 포함되어 있습니다.",https://storage.googleapis.com/portermarket-bucket/B01G3JBGJK_1.jpg
6281213,음료,차,아이스 티,B01AT3DM5M,"Pure Leaf 아이스 티, 라즈베리 500ml(18.5온스) (12개 팩)",Pure Leaf,32907,32907,4.7,23292,파우더나 농축액을 사용하지 않고 가장 신선하게 따온 진짜 찻잎에서 추출합니다 인공 감미료나 색소가 첨가되지 않았습니다 대담한 타르트 베리 향이 홍차 잎의 부드러운 특성을 만났습니다 병당 180칼로리 524.5g(18.5온스) 병 12개 포함,순수 잎사귀는 인생에서 가장 좋은 것이 진짜이고 단순하다고 믿습니다. 하지만 때로는 단순함에 약간의 작업이 필요합니다. 각 Pure Leaf 브루를 갓 병에 담아 밀봉하기 전에 저희 찻잎은 많은 사랑과 관심을 받아 상쾌한 잎 추출 차를 만듭니다(파우더나 농축액이 아님).,https://storage.googleapis.com/portermarket-bucket/B01AT3DM5M_1.jpg
6281214,음료,차,녹색,B0017T6S1I,"Teas' Tea 무가당 자스민 녹차 479.1g(16.9온스) (12팩) 유기농, 무설탕, 0칼로리",Teas' Tea,23364,23364,4.5,2948,"무설탕 차: 이 아이스 티 한 병은 자스민 꽃의 진정 향이 주입된 가벼운 재스민 녹차입니다. 잎 녹차를 겹쳐서 우아한 블렌드를 만듭니다. 비타민 C, 항산화 물질, 카테킨, EGCG 및 아미노산이 풍부합니다 TEAS' TEA 맛: 당사의 차는 건강한 면역 체계를 지원하는 강력한 차 항산화 물질을 제공합니다. 그린, 로즈, 블랙, 카모마일부터 맛있는 복숭아 생강, 망고 유자 등에 이르기까지 아이스 티를 확인하세요. 상쾌한 그린: 녹차는 높은 항산화 성분으로 오랫동안 존경받아 왔으며 오랫동안 건강, 행복 및 지혜의 열쇠로 여겨져 왔습니다. 녹차는 건강과 웰빙을 위한 완벽한 상쾌함입니다. 녹차 문화: ITO EN North America는 미국에서 녹차 제품 라인을 소개하기 위해 2001년에 설립되었습니다. 바로 마실 수 있는 말차부터 Sencha Shots까지, 6가지 종류의 일본 녹차를 제공합니다. 맛있는 상쾌함: 이동 중에도 쉽게 병에 든 차를 즐기신다면 맛있고 상쾌한 차를 맛보세요. 저희는 독특한 전통 잎차, 티백, 말차, 말차 파우더 등을 제공합니다.","Tea's Tea 자스민 녹차 Tea's Tea Organic의 우아한 아이스 자스민 녹차를 사용해보세요. 자스민 꽃의 진정 향이 더해져 잎 녹차 사이에 번갈아 겹쳐져 우아한 블렌드를 만듭니다. 맛있게 덜합니다. 저희는 적은 것이 더 맛있다고 믿습니다. 그렇기 때문에 티스 티에서 물, 찻잎, 필수 성분 및 천연 향료만 찾을 수 있습니다. 그 이상은 없습니다. 우아하고 복잡하지 않습니다. 저희는 단순함이 깨달음이라고 믿습니다. 이것이 바로 당사의 무가당 차가 선택적인 유기농 재료를 사용하는 이유입니다. Teas' Tea  Tea of All Teas 를 의미하는 일본어 문구 Ocha no Naka no Ocha에서 유래되었습니다. 사려 깊게 공급되고 신중하게 제작되었으며, 가능한 최고의 차를 만들기 위해 세계 최고의 병을 만드는 것을 목표로 합니다. 메이커 소개 - Ito En ITO EN은 세계 최고의 녹차 회사이자 건강한 음료의 혁신 기업으로, 천연, 건강, 안전, 잘 디자인 및 맛있다는 5가지 원칙을 구현하는 정품 제품을 만드는 데 전념하고 있습니다. 1966년 일본에서 설립된 ITO EN은 수상 경력에 빛나는 TEAS' TEA Organic, Oi Ocha, Matcha Love와 같은 모든 브랜드에 반영된 차 전문 지식과 고품질 표준에 대한 헌신으로 특별히 유명합니다. 음료 산업을 위한 글로벌 혁신을 창출하면서 진정성에 전념하는 ITO EN은 지속 가능성에 대한 헌신과 건강한 라이프 스타일을 촉진하는  세계를 변화시키는 50대 회사 (Fortune) 중 하나로 선정되었습니다.",https://storage.googleapis.com/portermarket-bucket/B0017T6S1I_1.jpg
6281215,음료,차,아이스 티,B004UKJ0Y8,AriZona Arnold Palmer 하프 앤 하프 - 473.2ml(16온스) (12개 팩),Arizona,11066,11066,4.7,8325,"진짜 추출: AriZona의 Arnold Palmer Half and Half Lite는 전통적인 홍차와 레모네이드를 결합했습니다. 100% 천연: 인공 향료가 없습니다. 방부제가 없으며 탄산음료나 파우더 레모네이드 음료에서 인공 색소가 발견되지 않습니다. 비타민 C: 반 차와 반 레모네이드, 이 맛있는 음료는 비타민 C 항산화 물질을 강화했습니다. 성인과 아이들이 진정으로 즐길 수 있는 훌륭한 맛의 음료. 상쾌함: 병에서 바로 마시든 긴 유리잔이나 집, 학교 또는 직장에서 마시든, 갈증을 해소하는 Arizona 차 한 병으로 오늘 자신을 대접하세요. 벌크 케이스: 12개의 473.2ml (16온스) 병 1팩. 점심이나 간식을 위한 완벽한 사이즈. 항상 이동 중인 모든 사람에게 적합합니다.",,https://storage.googleapis.com/portermarket-bucket/B004UKJ0Y8_1.jpg
6281216,음료,차,아이스 티,B0B237RBHS,"AriZona 라즈베리 티 - 빅 캔, 599.6ml(22온스) (24개 팩)",Arizona,41536,41536,4.6,3000,"브루드 티: 프리미엄 브루드 티와 라즈베리 맛으로 제작 100% 천연: 이 제품은 인공 향료, 색소 및 방부제가 없습니다. 상쾌함: 병에서 바로 마시든 얼음이 든 긴 잔을 마시든, 집, 학교 또는 직장에서 마시든, 단순히 맛있는 갈증을 해소하는 음료로 자신을 대접하세요. 벌크 케이스에는 652g(23온스) 통조림 차 24개가 포함되어 있습니다. 점심이나 간식에 딱 맞는 크기입니다. 항상 이동 중인 모든 사람에게 적합합니다.",100% 프리미엄 브루드 티와 달콤한 라즈베리 맛으로 제작되어 베리 맛과 활발한 마감의 완벽한 균형을 만들었습니다. 일반 차에 풍미가 더해졌습니다.,https://storage.googleapis.com/portermarket-bucket/B0B237RBHS_1.jpg
6281217,음료,차,녹색,B0017T6S0Y,"Teas' Tea 무가당 순수 녹차, 유기농, 무설탕, 0칼로리, 479.1g(16.9온스) (12팩)",Teas' Tea,23364,23364,4.3,1635,"무설탕 차: 녹차의 자연스러운 맛을 끌어내는 뚜렷한 선명도를 제공하기 위해 병에 든 이 무가당 녹차는 순수하고 부드러운 맛이 특징입니다. 비타민 C, 항산화 물질, 카테킨, EGCG 및 아미노산이 풍부합니다 TEAS' TEA 맛: 당사의 차는 건강한 면역 체계를 지원하는 강력한 차 항산화 물질을 제공합니다. 그린, 로즈, 블랙, 카모마일부터 맛있는 복숭아 생강, 망고 유자 등에 이르기까지 아이스 티를 확인하세요. 상쾌한 그린: 녹차는 높은 항산화 성분으로 오랫동안 존경받아 왔으며 오랫동안 건강, 행복 및 지혜의 열쇠로 여겨져 왔습니다. 녹차는 건강과 웰빙을 위한 완벽한 상쾌함입니다. 녹차 문화: ITO EN North America는 미국에서 녹차 제품 라인을 소개하기 위해 2001년에 설립되었습니다. 바로 마실 수 있는 말차부터 Sencha Shots까지, 6가지 종류의 일본 녹차를 제공합니다. 맛있는 상쾌함: 이동 중에도 쉽게 병에 든 차를 즐기신다면 맛있고 상쾌한 차를 맛보세요. 저희는 독특한 전통 잎차, 티백, 말차, 말차 파우더 등을 제공합니다.","Tea's Tea 순수 녹차 Tea's Tea의 순수하고 부드러운 아이스 녹차를 사용해보세요. 신선한 녹차 잎으로 추출하고 병에 넣어 녹차의 자연스러운 맛을 끌어내는 뚜렷한 선명도를 제공합니다. 맛있게 덜합니다. 저희는 적은 것이 더 맛있다고 믿습니다. 그렇기 때문에 티스 티에서 물, 찻잎, 필수 성분 및 천연 향료만 찾을 수 있습니다. 그 이상은 없습니다. 우아하고 복잡하지 않습니다. 저희는 단순함이 깨달음이라고 믿습니다. 이것이 바로 당사의 무가당 차가 선택적인 유기농 재료를 사용하는 이유입니다. Teas' Tea  Tea of All Teas 를 의미하는 일본어 문구 Ocha no Naka no Ocha에서 유래되었습니다. 사려 깊게 공급되고 신중하게 제작되었으며, 가능한 최고의 차를 만들기 위해 세계 최고의 병을 만드는 것을 목표로 합니다. 메이커 소개 - Ito En ITO EN은 세계 최고의 녹차 회사이자 건강한 음료의 혁신 기업으로, 천연, 건강, 안전, 잘 디자인 및 맛있는 회사의 5가지 원칙을 구현하는 정품 제품을 만드는 데 전념하고 있습니다. 1966년 일본에서 설립된 ITO EN은 수상 경력에 빛나는 TEAS' TEA Organic, Oi Ocha, Matcha Love와 같은 모든 브랜드에 반영된 차 전문 지식과 고품질 표준에 대한 헌신으로 특별히 유명합니다. 음료 산업을 위한 글로벌 혁신을 창출하면서 진정성에 전념하는 ITO EN은 지속 가능성에 대한 헌신과 건강한 라이프 스타일을 촉진하는  세계를 변화시키는 50대 회사 (Fortune) 중 하나로 선정되었습니다.",https://storage.googleapis.com/portermarket-bucket/B0017T6S0Y_1.jpg
6281218,음료,차,아이스 티,B017W3QVBE,"Bai 아이스 티, 나리노 피치, 항산화 주입 슈퍼티, 리얼 티 (블랙 티, 화이트 티)로 제작, 573.2ml(18온스) 병, 12개입",Bai,48419,48419,4.6,8543,"맛 아이스 티 음료: 진짜 추출한 차와 복숭아 과일 맛으로 가득합니다 건강한 맛과 단 10칼로리: 저칼로리, 낮은 맛을 의미해서는 안 됩니다. Bai 제품은 저칼로리, 대담한 과일 맛을 제공하여 희생할 필요가 없습니다 인공 감미료 없음: 1회 제공량당 설탕 1g으로 제작되었습니다 항산화 물질 주입: 글루텐 프리, GMO 프리, 비건 및 코셔, 혈당 지수가 낮습니다 카페인: 1회 제공량당 35mg의 카페인 함유 진짜 추출된 차: 홍차와 백차로 제작되었습니다",Bai Narino 피치 티는 기분 좋은 맛을 위해 항산화 물질이 함유된 진정으로 추출된 차입니다. Bai Supertea는 1회 제공량당 5칼로리와 1g의 설탕을 함유한 시중에서 유일하게 인공 감미료를 사용하지 않고 달콤한 저칼로리 차입니다. 아이스 티와 복숭아의 상쾌한 맛을 결합한 Bai Narino Peach Tea는 당신이 매우 느낄 수 있는 맛있는 선택입니다.,https://storage.googleapis.com/portermarket-bucket/B017W3QVBE_1.jpg
6281219,음료,차,아이스 티,B0D1VZBLMG,Kung Fu Tea 브라운 슈가 밀크티 및 타이 밀크티 캔 드링크 (캔 6개/팩) (갈색 설탕 캔 3개 및 타이 밀크티 캔 3개),Kung Fu Tea,14542,14542,4.5,50,"훌륭한 맛, 항상 신선함 - Kung Fu Tea 는 최첨단 기술을 사용하여 프리미엄 통조림 음료에 천연 질소를 주입하여 신선하고 풍미가 가득합니다. 저희 통조림 흑설탕 밀크티와 타이 밀크티는 신선함을 보장하기 위해 보바가 포함되어 있지 않습니다. Kung Fu Tea 보바 차를 즐기려면 전국 400개 이상의 지점을 방문하세요. 완전 재활용 가능: 쿵푸차의 흑설탕 밀크티 및 타이 밀크티 캔은 환경 보호 및 보존 노력에 기여하려는 쿵푸티의 지속적인 사명의 일환으로 완전히 재활용 가능한 알루미늄 캔으로 통조림으로 만들어집니다. 이동 중에도 편리함 - Kung Fu Tea 통조림 흑설탕 밀크티와 타이 밀크티를 사용하면 집, 학교, 직장 또는 이동 중에도 좋아하는 Kung Fu Tea 제품을 쉽게 즐길 수 있습니다. 캔에 차갑게 식히거나 얼음이 든 유리잔에 아이스 티로 제공하는 것이 가장 좋습니다. 점심 또는 간식에 적합한 사이즈 - 313.5ml(11온스) 캔 6팩으로 편리하게 포장된 Kung Fu Tea 통조림 차는 언제 어디서나 포장할 수 있는 완벽한 크기입니다. 퓨전으로 상쾌함 - Kung Fu Tea 통조림 타이 밀크티는 홍차와 향신료와 우유의 융합으로 추출됩니다. 상쾌한 블렌드 - Kung Fu Tea 통조림 흑설탕 밀크티는 흑설탕과 우유의 간단하고 달콤한 블렌드입니다.","KUNG FU TEA 상징적인 음료 - 지금 캔에 담겨 있습니다! 냉장고를 열고 좋아하는 Kung Fu Tea 보바가 여러분을 기다리고 있기를 바랐던 적이 있나요? 이제 할 수 있습니다! 브라운 슈가 밀크티와 타이 밀크티 캔을 소개합니다! 캔에 담긴 이 맛있는 간식은 버블티 픽스가 필요할 때 집에 보관할 수 있는 완벽한 선택입니다. 저희 타이 밀크티 캔은 홍차, 향신료, 우유의 맛있는 조합입니다. 당사의 흑설탕 밀크티는 흑설탕과 우유의 달콤한 혼합물입니다.",https://storage.googleapis.com/portermarket-bucket/B0D1VZBLMG_1.jpg
6281220,음료,차,아이스 티,B008XAB0VC,"Lipton 녹차, 시트러스 아이스, 500ml(16.9온스) (12개 팩)",Lipton,8282,8282,4.7,5978,"Lipton 아이스 티, 녹차 시트러스 12병 포함 Lipton 녹차 시트러스 아이스티는 섬세한 녹차와 톡 쏘는 시트러스 맛을 가지고 있으며, 최고의 맛 조합으로 미뢰가 기쁨을 선사합니다 수업 중에 휴식을 취하거나 긴 하루를 보낸 후 휴식을 취해야 할 때 Lipton 아이스 티 그린 시트러스는 상쾌한 픽업을 위한 완벽한 선택입니다 Lipton 녹차 시트러스 아이스티는 고품질 차 성분으로 만들어졌습니다 Lipton 아이스 티 병은 재활용이 가능합니다: 리프레시 후 재활용하세요",신선하고 과일 맛 - 모든 것을 갖추고 있습니다! 여기에서 여러분이 가장 좋아하는 Lipton 아이스티를 찾을 수 있습니다. 이 아이스티는 햇빛을 끌어내고 모든 행사를 작은 기쁨의 순간으로 바꿔줍니다,https://storage.googleapis.com/portermarket-bucket/B008XAB0VC_1.jpg
6281221,음료,차,아이스 티,B0BL62STZ6,"Liquid Death, Grim Leafer 아이스 티, 8팩 (킹 사이즈 544.3g(19.5온스) 캔), 진짜 용설란으로 단맛을 낸 남부 스타일 스위트 티, B12 및 B6 비타민, 저칼로리 및 저설탕",Liquid Death,18849,18849,4.4,7172,30칼로리 진짜 용설란에서 추출한 설탕 6g 천연 카페인 30mg의 미세 투여 비타민 B로 강화되었습니다 무한히 재활용 가능한 알루미늄 캔,이 아이스 홍차(스위트 티)의 정신병 캔은 천연 아가베와 비타민 B를 사용하여 갈증을 야만적으로 죽이고 내부를 풍선 동물로 바꾸어 어린이 생일 파티에서 공연을 예약합니다.,https://storage.googleapis.com/portermarket-bucket/B0BL62STZ6_1.jpg
6281222,음료,차,아이스 티,B0096FSRQO,"4C 파우더 드링크 믹스 패킷, 아이스 티 버라이어티 1팩, 44개, Singles Stix On the Go, 상쾌한 무설탕 물 향료",4C,13836,13836,4.6,840,"맛있는 맛 | 4C의 아이스 티 버라이어티 팩은 맛을 바꾸고 싶은 사람들에게 완벽한 제품입니다! 녹차, 레몬 티, 복숭아 차 및 하프 앤 하프로 파티를 시작할 수 있는 모든 파티가 있습니다 건강 & 만족 | 1회 제공량당 100% 비타민 C 일일 섭취량과 무설탕 감미료. 나트륨이 없는 4C Stix는 물 향료 요구 사항을 완벽하게 보완합니다 쉽고 편리함 | 찢고 붓고 마시세요! 그만큼 쉽습니다. 이동 중인 개인, 다양한 맛을 좋아하는 가족 또는 건강에 민감한 여행자에게 적합합니다 가족이 가장 좋아하는 제품 | 가족이 가장 좋아하는 캐니스터 사이즈 제품에서 유래한 이 독특한 맛을 개별 병 패킷에 포장했습니다. 왜 당사의 맛이 최고의 수분 강화제인지 확인하세요! 맛 전문가 | 4C 는 1935년으로 거슬러 올라가는 고품질 식품 및 물 향료 전문가였습니다. 가족 소유 기업으로서 당사는 전 세계에 만들고 공유하는 프리미엄 품질의 제품에 자부심을 가지고 있습니다",,https://storage.googleapis.com/portermarket-bucket/B0096FSRQO_1.jpg
6281223,음료,차,아이스 티,B0012V2NUG,"Lipton Brisk 레몬 아이스티, 350ml(12액량 온스) (12개 팩)",Lipton,8974,8974,4.8,3343,Lipton Brisk 레몬 아이스 티 350ml(12온스) 팩 12개 포함 대담한 레몬 맛의 아이스 티 가볍고 상쾌하며 상쾌합니다 수많은 태도를 가진 오리지널 아이스티 뒷 베란다에서 아이스티를 걷어차게 하고 길거리 신념을 주는 대담한 레몬 맛,Lipton Brisk 레몬 아이스 티 355ml(12온스) 캔 12개 포함,https://storage.googleapis.com/portermarket-bucket/B0012V2NUG_1.jpg
6281224,음료,차,아이스 티,B0CBJD6YHC,"Teazen Summer Peach 아이스 티, 무설탕, 우바 홍차, 하이드레이션 드링크 믹스, 스틱 10개, 49.9g(1.75온스)",TEAZEN,20705,20705,4.4,61,패킷 당 8kcal. 설탕이 포함되어 있지 않습니다. 걱정 없이 달콤하고 상쾌한 아이스티를 즐기세요.,TEAZEN 무설탕 아이스 티,https://storage.googleapis.com/portermarket-bucket/B0CBJD6YHC_1.jpg
6281225,음료,차,마테 차,B07S6ZTGLY,"CLEAN Cause 저칼로리 버라이어티 팩 스파클링 예르바 마테차, 160mg 카페인, 유기농, 저설탕, 에너지 음료의 건강한 대안(473.2ml(16온스) 캔, 12팩 케이스)",CLEAN CAUSE.,51175,51175,4.5,2251,스파클링 예르바 메이트: 훌륭한 맛의 스파클링 예르바 마테로 하루를 가장 잘 할 수 있도록 도와줍니다! 어떤 이유로든 구매가 마음에 들지 않으면 바로 해결해 드리겠습니다. 천연 카페인: 각 캔에는 지터 프리 예르바 메이트에서 자연적으로 공급되는 카페인 160mg이 포함되어 있습니다. USDA 유기농 인증: 모든 성분이 USDA 유기농으로 분류되는 높은 기준을 충족하는지 확인합니다. 70가지 저칼로리: 설탕을 줄였으므로 설탕 충돌을 겪지 않고 카페인이 급증할 수 있습니다. 중독 회복 지원: 50% 순이익(또는 5% 순수익 중 더 큰 것)은 중독 회복을 지원합니다.,,https://storage.googleapis.com/portermarket-bucket/B07S6ZTGLY_1.jpg
